hospital_name_raw
รพ.ลี้ (11142)
รพ.ทุ่งหัวช้าง (11143)
รพ.ป่าซาง (11144)
รพ.บ้านธิ (11145)
รพ.แม่เมาะ (11146)
รพ.เกาะคา (11147)
รพ.เสริมงาม (11148)
รพ.งาว (11149)
รพ.แจ้ห่ม (11150)
รพ.วังเหนือ (11151)
รพ.เถิน (11152)
รพ.แม่พริก (11153)
รพ.แม่ทะ (11154)
รพ.สบปราบ (11155)
รพ.ห้างฉัตร (11156)
รพ.เมืองปาน (11157)
รพ.ตรอน (11158)
รพ.ท่าปลา (11159)
รพ.น้ำปาด (11160)
รพ.ฟากท่า (11161)
รพ.บ้านโคก (11162)
รพ.พิชัย (11163)
รพ.ลับแล (11164)
รพ.ทองแสนขัน (11165)
รพ.ร้องกวาง (11166)
รพ.ลอง (11167)
รพ.สูงเม่น (11169)
รพ.สอง (11170)
รพ.วังชิ้น (11171)
รพ.หนองม่วงไข่ (11172)
รพ.แม่จริม (11173)
รพ.บ้านหลวง (11174)
รพ.นาน้อย (11175)
รพ.ท่าวังผา (11176)
รพ.เวียงสา (11177)
รพ.ทุ่งช้าง (11178)
รพ.เชียงกลาง (11179)
รพ.นาหมื่น (11180)
รพ.สันติสุข (11181)
รพ.บ่อเกลือ (11182)
รพ.สองแคว (11183)
รพ.จุน (11184)
รพ.เชียงม่วน (11185)
รพ.ดอกคำใต้ (11186)
รพ.ปง (11187)
รพ.แม่ใจ (11188)
รพ.เทิง (11189)
รพ.พาน (11190)
รพ.ป่าแดด (11191)
รพ.แม่จัน (11192)
รพ.เชียงแสน (11193)
รพ.แม่สาย (11194)
รพ.แม่สรวย (11195)
รพ.เวียงป่าเป้า (11196)
รพ.พญาเม็งราย (11197)
รพ.เวียงแก่น (11198)
รพ.ขุนตาล (11199)
รพ.แม่ฟ้าหลวง (11200)
รพ.แม่ลาว (11201)
รพ.เวียงเชียงรุ้ง (11202)
รพ.ขุนยวม (11203)
รพ.ปาย (11204)
รพ.แม่สะเรียง (11205)
รพ.แม่ลาน้อย (11206)
รพ.สบเมย (11207)
รพ.ปางมะผ้า (11208)
รพ.โกรกพระ (11209)
รพ.ชุมแสง (11210)
รพ.หนองบัว (11211)
รพ.บรรพตพิสัย (11212)
รพ.เก้าเลี้ยว (11213)
รพ.ตาคลี (11214)
รพ.ท่าตะโก (11215)
รพ.ไพศาลี (11216)
รพ.พยุหะคีรี (11217)
รพ.ลาดยาว (11218)
รพ.ตากฟ้า (11219)
รพ.แม่วงก์ (11220)
รพ.ทัพทัน (11221)
รพ.สว่างอารมณ์ (11222)
รพ.หนองฉาง (11223)
รพ.หนองขาหย่าง (11224)
รพ.บ้านไร่ (11225)
รพ.ลานสัก (11226)
รพ.ห้วยคต (11227)
รพ.ทุ่งโพธิ์ทะเล (11228)
รพ.ไทรงาม (11229)
รพ.คลองลาน (11230)
รพ.ขาณุวรลักษบุรี (11231)
รพ.คลองขลุง (11232)
รพ.พรานกระต่าย (11233)
รพ.ลานกระบือ (11234)
รพ.ทรายทองวัฒนา (11235)
รพ.ปางศิลาทอง (11236)
รพ.บ้านตาก (11238)
รพ.สามเงา (11239)
รพ.แม่ระมาด (11240)
รพ.ท่าสองยาง (11241)
รพ.พบพระ (11242)
รพ.อุ้มผาง (11243)
รพ.บ้านด่านลานหอย (11244)
รพ.คีรีมาศ (11245)
รพ.กงไกรลาศ (11246)
รพ.ศรีสัชนาลัย (11247)
รพ.สวรรคโลก (11248)
รพ.ศรีนคร (11249)
รพ.ทุ่งเสลี่ยม (11250)
รพ.ชาติตระการ (11251)
รพ.บางระกำ (11252)
รพ.บางกระทุ่ม (11253)
รพ.พรหมพิราม (11254)
รพ.วัดโบสถ์ (11255)
