name,province,district,beds_(as_of_2024)[1]
Mae Wang Hospital,Chiang Mai,Mae Wang,37
Om Koi Hospital,Chiang Mai,Om Koi,64
Phrao Hospital,Chiang Mai,Phrao,60
Samoeng Hospital,Chiang Mai,Samoeng,37
San Kamphaeng Hospital,Chiang Mai,San Kamphaeng,50
Saraphi Hospital,Chiang Mai,Saraphi,71
Wat Chan Chaloem Phrakiat Hospital,Chiang Mai,Galyani Vadhana,25
Wiang Haeng Hospital,Chiang Mai,Wiang Haeng,30
Chiang Khong Crown Prince Hospital,Chiang Rai,Chiang Khong,72
Chiang Saen Hospital,Chiang Rai,Chiang Saen,58
Doi Luang Hospital,Chiang Rai,Doi Luang,0
Khun Tan Hospital,Chiang Rai,Khun Tan,34
Mae Chan Hospital,Chiang Rai,Mae Chan,152
Mae Fa Luang Hospital,Chiang Rai,Mae Fa Luang,30
Mae Lao Hospital,Chiang Rai,Mae Lao,30
Mae Suai Hospital,Chiang Rai,Mae Suai,60
Pa Daed Hospital,Chiang Rai,Pa Daed,30
Phan Hospital,Chiang Rai,Phan,175
Phaya Mengrai Hospital,Chiang Rai,Phaya Mengrai,60
Somdet Phra Yanasangwon Hospital,Chiang Rai,Wiang Chai,30
Thoeng Hospital,Chiang Rai,Thoeng,90
Wiang Chiang Rung Hospital,Chiang Rai,Wiang Chiang Rung,30
Wiang Kaen Hospital,Chiang Rai,Wiang Kaen,34
Wiang Pa Pao Hospital,Chiang Rai,Wiang Pa Pao,81
Ban Bueng Hospital,Chonburi,Ban Bueng,170
Bo Thong Hospital,Chonburi,Bo Thong,70
Ko Chan Hospital,Chonburi,Ko Chan,30
Ko Sichang Hospital,Chonburi,Ko Sichang,15
Laem Chabang Hospital,Chonburi,Si Racha,187
Nong Yai Hospital,Chonburi,Nong Yai,35
Phan Thong Hospital,Chonburi,Phan Thong,90
Sattahip K.M. 10 Hospital,Chonburi,Sattahip,66
Wat Yansangwararam Hospital,Chonburi,Bang Lamung,31
Lamae Hospital,Chumphon,Lamae,30
Lang Suan Hospital,Chumphon,Lang Suan,182
Map Ammarit Hospital,Chumphon,Map Ammarit,30
Pak Nam Chumphon Hospital,Chumphon,Mueang,10
Pak Nam Lang Suan Hospital,Chumphon,Lang Suan,12
Pathio Hospital,Chumphon,Pathio,47
Phato Hospital,Chumphon,Phato,30
Sawi Hospital,Chumphon,Sawi,66
Tha Sae Hospital,Chumphon,Tha Sae,75
Thung Tako Hospital,Chumphon,Thung Tako,30
Don Chan Hospital,Kalasin,Don Chan,14
Huai Mek Hospital,Kalasin,Huai Mek,58
Huai Phueng Hospital,Kalasin,Huai Phueng,34
Kamalasai Hospital,Kalasin,Kamalasai,143
Kham Muang Hospital,Kalasin,Kham Muang,81
Khao Wong Hospital,Kalasin,Khao Wong,88
Khong Chai Hospital,Kalasin,Khong Chai,30
Kuchinarai Crown Prince Hospital,Kalasin,Kuchinarai,177
Na Khu Hospital,Kalasin,Na Khu,41
Na Mon Hospital,Kalasin,Na Mon,37
Nong Kung Si Hospital,Kalasin,Nong Kung Si,80
Rong Kham Hospital,Kalasin,Rong Kham,30
Sahatsakhan Hospital,Kalasin,Sahatsakhan,40
Sam Chai Hospital,Kalasin,Sam Chai,30
Somdet Hospital,Kalasin,Somdet,114
Tha Khantho Hospital,Kalasin,Tha Khantho,60
Yang Talat Hospital,Kalasin,Yang Talat,162
